,playlistURI,participant,rating,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity,Downloaded
22,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Deep Soul,3982hLjimRRPGIfInxlzyh,https://p.scdn.co/mp3-preview/d421995bce2570531635712054d0fc4031795380?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-12-11,[unknown],0.162,0.172,-22.401,0.0585,0.934,0.845,0.1,0.115,89.49,2,1,163909,63.0,1
23,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Light Being,6VoHNgFuX8ElVxU2gjU8Yr,https://p.scdn.co/mp3-preview/15564ef072d85369e848045ab0507403c41cc313?cid=a91ed9edffbc4349b0ae66ad2680900a,2020-12-09,[unknown],0.184,0.331,-21.832,0.0479,0.0175,0.865,0.107,0.199,64.713,7,1,176000,63.0,1
24,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Panalipa Bisignatus,6LjyIMfDZkn2uY2sLM6Hdk,https://p.scdn.co/mp3-preview/bfd4587cf2e038998bfeaedf06b817b0c9baff5e?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-18,[unknown],0.14,0.0155,-31.517,0.0451,0.991,0.722,0.101,0.032,142.751,6,1,236000,61.0,1
25,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Bio-logical,7bj6z4jBc4z0RSUv4lUoru,https://p.scdn.co/mp3-preview/40a006c7d5ad423135eaad3bb8141e19bd102c77?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-19,[unknown],0.0763,0.0261,-31.0,0.048,0.985,0.976,0.0891,0.0854,178.17,1,1,179252,62.0,1
26,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Lighthouses - Ambient Version,4VTYAMP7kQ7YjmGpGtuJBo,https://p.scdn.co/mp3-preview/a0cbf2263f30a9df316cb2f94bffbc3349635f1a?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-22,[unknown],0.208,0.0581,-27.906,0.0502,0.842,0.624,0.109,0.0394,68.942,2,1,183996,61.0,1
27,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Define,6D0lPIqjmSHGQHfXT0mm1L,https://p.scdn.co/mp3-preview/37a8f1df9b05ded13ea94d6ee789a4bd5171f51c?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-21,[unknown],0.142,0.159,-24.167,0.0378,0.541,0.783,0.104,0.0576,139.901,0,1,208421,59.0,1
28,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Aurora,0CwVkwUUCZPYZdj7SafQYL,https://p.scdn.co/mp3-preview/3118c18a146fdacb16d10636b4de58a4434a44c4?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-18,[unknown],0.165,0.164,-20.668,0.0433,0.793,0.808,0.107,0.0326,130.222,0,1,185769,66.0,1
29,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Viento Estelar,0f5IlhiVWUUq4SGHyrRxIt,https://p.scdn.co/mp3-preview/69e4e7f21faa287b25e0cefb3d8fa07d93c585ba?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-18,[unknown],0.141,0.0405,-29.013,0.0382,0.965,0.966,0.0983,0.0378,59.418,3,1,185943,66.0,1
30,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Altai,2Vd91FjcKOHXn8kiFv0gnV,https://p.scdn.co/mp3-preview/423190ec8037a3e8a9909a7b14231727d9c29dd1?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-08,[unknown],0.182,0.0372,-33.001,0.0409,0.932,0.816,0.0635,0.078,68.898,5,1,197500,67.0,1
31,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY?si=a7eyngwmTDqfZYCJ37PvQw,Ole,5,37i9dQZF1DWYcDQ1hSjOpY,Sueno,6ZUPb0L9JcZM1e7c1nGCIx,https://p.scdn.co/mp3-preview/09245e7970bb6b93fa11fb35c727c9782a9df0e9?cid=a91ed9edffbc4349b0ae66ad2680900a,2021-01-08,['atmosphere'],0.174,0.023,-34.037,0.0384,0.961,0.902,0.14,0.07,66.427,0,1,163053,67.0,1
